146, Blake Coleman, CGY (C48)
147, Mikael Granlund, ANA (C49)
148, Morgan Rielly, TOR (D31)
149, Alexis Lafreniere, NYR (LW22)
150, Quinton Byfield, LA (C50)
151, Colton Parayko, STL (D32)
152, Will Cuylle, NYR (LW23)
153, Darcy Kuemper, LA (G21)
154, Evgeni Malkin, PIT (C51)
155, Valeri Nichushkin, CBJ (LW24)
156, Jet Greaves, CBJ (G22)
157, Tyler Toffoli, SJ (RW28)
158, Spencer Knight, CHI (G23)
159, Justin Faulk, DET (D33)
160, Tyler Bertuzzi, CHI (LW25)
161, Ryan Hartman, MIN (RW29)
162, Matthew Knies, TOR (LW26)
163, Alex Lyon, BUF (G24)
164, Vince Dunn, SEA (D34)
165, Anders Lee, NYI (LW27)
166, Noah Hanifin, VGK (D35)
167, Jonathan Marchessault, NSH (LW28)
168, Sergei Bobrovsky, FLA (G25)
169, Anton Forsberg, LA (G26)
170, Filip Hronek, VAN (D36)
171, Sean Walker, CAR (D37)
172, William Eklund, OTT (LW29)
173, Charlie Coyle, CBJ (C52)
174, Shayne Gostisbehere, CAR (D38)
175, Brandon Montour, SEA (D39)
176, Dougie Hamilton, NJ (D40)
177, Victor Hedman, TB (D41)
178, Pavel Zacha, BOS (C53)
179, Eeli Tolvanen, SEA (LW30)
180, Matty Beniers, SEA (C54)
181, Thomas Harley, DAL (D42)
182, Kiefer Sherwood, SJ (LW31)
183, Ryan Nugent-Hopkins, EDM (C55)
184, Matt Coronato, CGY (LW32)
185, Bobby McMann, SEA (C56)
186, Joey Daccord, SEA (G27)
187, Dustin Wolf, CGY (G28)
188, Robert Thomas, STL (C57)
189, Jake Allen, NJ (G29)
190, Travis Sanheim, PHI (D43)
191, Patrick Kane, DET (RW30)
192, Jackson Blake, CAR (RW31)
193, Marco Rossi, VAN (C58)
194, Pavel Buchnevich, STL (LW33)
195, Jordan Eberle, SEA (RW32)
196, Jacob Markstrom, FLA (G30)
197, Oliver Bjorkstrand, TB (RW33)
198, Elias Lindholm, BOS (C59)
199, Matvei Michkov, PHI (RW34)
200, Ivan Provorov, CBJ (D44)
201, Maxim Tsyplakov, CGY (RW35)
202, Gavin McKenna, TOR (LW34)
203, Brent Burns, COL (D45)
204, Trevor Zegras, PHI (C60)
205, Lawson Crouse, UTA (LW35)
206, Mats Zuccarello, MIN (RW36)
207, Joseph Woll, PHI (G31)
208, JJ Peterka, BOS (RW37)
209, Stuart Skinner, PIT (G32)
210, Brayden Schenn, NYI (C61)
211, Will Smith, SJ (C62)
212, Trevor Moore, LA (LW36)
213, Mattias Ekholm, EDM (D46)
214, Esa Lindell, DAL (D47)
215, Troy Terry, ANA (RW38)
216, Aliaksei Protas, WSH (C63)
217, Kyle Palmieri, NYI (RW39)
218, Lukas Dostal, ANA (G33)
219, Yegor Sharangovich, CGY (LW37)
220, Anthony Mantha, PIT (RW40)
221, Anton Lundell, FLA (C64)
222, Kris Letang, PIT (D48)
223, Ivan Barbashev, VGK (LW38)
224, Frank Nazar, CHI (C65)
225, Jack Quinn, BUF (C66)
226, Fabian Zetterlund, OTT (LW39)
227, Anthony Cirelli, TB (C67)
228, Brady Skjei, NSH (D49)
229, Shane Pinto, OTT (C68)
230, Mattias Samuelsson, BUF (D50)
231, Jimmy Snuggerud, STL (RW41)
232, Viktor Arvidsson, BOS (LW40)
